"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
752,1,3,"male",6,0,1,"392096",12.475,"E121","S"
866,1,2,"female",42,0,0,"236852",13,"","S"
200,0,2,"female",24,0,0,"248747",13,"","S"
271,0,1,"male",NA,0,0,"113798",31,"","S"
661,1,1,"male",50,2,0,"PC 17611",133.65,"","S"
50,0,3,"female",18,1,0,"349237",17.8,"","S"
402,0,3,"male",26,0,0,"341826",8.05,"","S"
570,1,3,"male",32,0,0,"350417",7.8542,"","S"
153,0,3,"male",55.5,0,0,"A.5. 11206",8.05,"","S"
54,1,2,"female",29,1,0,"2926",26,"","S"
34,0,2,"male",66,0,0,"C.A. 24579",10.5,"","S"
628,1,1,"female",21,0,0,"13502",77.9583,"D9","S"
277,0,3,"female",45,0,0,"347073",7.75,"","S"
20,1,3,"female",NA,0,0,"2649",7.225,"","C"
879,0,3,"male",NA,0,0,"349217",7.8958,"","S"
69,1,3,"female",17,4,2,"3101281",7.925,"","S"
610,1,1,"female",40,0,0,"PC 17582",153.4625,"C125","S"
3,1,3,"female",26,0,0,"STON/O2. 3101282",7.925,"","S"
735,0,2,"male",23,0,0,"233639",13,"","S"
423,0,3,"male",29,0,0,"315082",7.875,"","S"
679,0,3,"female",43,1,6,"CA 2144",46.9,"","S"
467,0,2,"male",NA,0,0,"239853",0,"","S"
873,0,1,"male",33,0,0,"695",5,"B51 B53 B55","S"
708,1,1,"male",42,0,0,"PC 17476",26.2875,"E24","S"
5,0,3,"male",35,0,0,"373450",8.05,"","S"
192,0,2,"male",19,0,0,"28424",13,"","S"
254,0,3,"male",30,1,0,"A/5. 3336",16.1,"","S"
771,0,3,"male",24,0,0,"345781",9.5,"","S"
691,1,1,"male",31,1,0,"17474",57,"B20","S"
560,1,3,"female",36,1,0,"345572",17.4,"","S"
759,0,3,"male",34,0,0,"363294",8.05,"","S"
397,0,3,"female",31,0,0,"350407",7.8542,"","S"
625,0,3,"male",21,0,0,"54636",16.1,"","S"
650,1,3,"female",23,0,0,"CA. 2314",7.55,"","S"
193,1,3,"female",19,1,0,"350046",7.8542,"","S"
762,0,3,"male",41,0,0,"SOTON/O2 3101272",7.125,"","S"
235,0,2,"male",24,0,0,"C.A. 29566",10.5,"","S"
639,0,3,"female",41,0,5,"3101295",39.6875,"","S"
461,1,1,"male",48,0,0,"19952",26.55,"E12","S"
683,0,3,"male",20,0,0,"6563",9.225,"","S"
100,0,2,"male",34,1,0,"244367",26,"","S"
28,0,1,"male",19,3,2,"19950",263,"C23 C25 C27","S"
250,0,2,"male",54,1,0,"244252",26,"","S"
857,1,1,"female",45,1,1,"36928",164.8667,"","S"
344,0,2,"male",25,0,0,"244361",13,"","S"
555,1,3,"female",22,0,0,"347085",7.775,"","S"
600,1,1,"male",49,1,0,"PC 17485",56.9292,"A20","C"
712,0,1,"male",NA,0,0,"113028",26.55,"C124","S"
63,0,1,"male",45,1,0,"36973",83.475,"C83","S"
206,0,3,"female",2,0,1,"347054",10.4625,"G6","S"
506,0,1,"male",18,1,0,"PC 17758",108.9,"C65","C"
74,0,3,"male",26,1,0,"2680",14.4542,"","C"
452,0,3,"male",NA,1,0,"65303",19.9667,"","S"
490,1,3,"male",9,1,1,"C.A. 37671",15.9,"","S"
579,0,3,"female",NA,1,0,"2689",14.4583,"","C"
124,1,2,"female",32.5,0,0,"27267",13,"E101","S"
777,0,3,"male",NA,0,0,"383121",7.75,"F38","Q"
620,0,2,"male",26,0,0,"31028",10.5,"","S"
258,1,1,"female",30,0,0,"110152",86.5,"B77","S"
575,0,3,"male",16,0,0,"A/4. 20589",8.05,"","S"
332,0,1,"male",45.5,0,0,"113043",28.5,"C124","S"
266,0,2,"male",36,0,0,"C.A. 17248",10.5,"","S"
373,0,3,"male",19,0,0,"323951",8.05,"","S"
602,0,3,"male",NA,0,0,"349214",7.8958,"","S"
672,0,1,"male",31,1,0,"F.C. 12750",52,"B71","S"
754,0,3,"male",23,0,0,"349204",7.8958,"","S"
732,0,3,"male",11,0,0,"2699",18.7875,"","C"
804,1,3,"male",0.42,0,1,"2625",8.5167,"","C"
104,0,3,"male",33,0,0,"7540",8.6542,"","S"
526,0,3,"male",40.5,0,0,"367232",7.75,"","Q"
470,1,3,"female",0.75,2,1,"2666",19.2583,"","C"
9,1,3,"female",27,0,2,"347742",11.1333,"","S"
642,1,1,"female",24,0,0,"PC 17477",69.3,"B35","C"
259,1,1,"female",35,0,0,"PC 17755",512.3292,"","C"
738,1,1,"male",35,0,0,"PC 17755",512.3292,"B101","C"
109,0,3,"male",38,0,0,"349249",7.8958,"","S"
133,0,3,"female",47,1,0,"A/5. 3337",14.5,"","S"
543,0,3,"female",11,4,2,"347082",31.275,"","S"
90,0,3,"male",24,0,0,"343275",8.05,"","S"
465,0,3,"male",NA,0,0,"A/S 2816",8.05,"","S"
690,1,1,"female",15,0,1,"24160",211.3375,"B5","S"
347,1,2,"female",40,0,0,"31418",13,"","S"
734,0,2,"male",23,0,0,"28425",13,"","S"
847,0,3,"male",NA,8,2,"CA. 2343",69.55,"","S"
292,1,1,"female",19,1,0,"11967",91.0792,"B49","C"
291,1,1,"female",26,0,0,"19877",78.85,"","S"
121,0,2,"male",21,2,0,"S.O.C. 14879",73.5,"","S"
855,0,2,"female",44,1,0,"244252",26,"","S"
306,1,1,"male",0.92,1,2,"113781",151.55,"C22 C26","S"
89,1,1,"female",23,3,2,"19950",263,"C23 C25 C27","S"
387,0,3,"male",1,5,2,"CA 2144",46.9,"","S"
197,0,3,"male",NA,0,0,"368703",7.75,"","Q"
645,1,3,"female",0.75,2,1,"2666",19.2583,"","C"
696,0,2,"male",52,0,0,"248731",13.5,"","S"
823,0,1,"male",38,0,0,"19972",0,"","S"
716,0,3,"male",19,0,0,"348124",7.65,"F G73","S"
118,0,2,"male",29,1,0,"11668",21,"","S"
773,0,2,"female",57,0,0,"S.O./P.P. 3",10.5,"E77","S"
868,0,1,"male",31,0,0,"PC 17590",50.4958,"A24","S"
775,1,2,"female",54,1,3,"29105",23,"","S"
624,0,3,"male",21,0,0,"350029",7.8542,"","S"
181,0,3,"female",NA,8,2,"CA. 2343",69.55,"","S"
763,1,3,"male",20,0,0,"2663",7.2292,"","C"
301,1,3,"female",NA,0,0,"9234",7.75,"","Q"
589,0,3,"male",22,0,0,"14973",8.05,"","S"
652,1,2,"female",18,0,1,"231919",23,"","S"
413,1,1,"female",33,1,0,"19928",90,"C78","Q"
358,0,2,"female",38,0,0,"237671",13,"","S"
391,1,1,"male",36,1,2,"113760",120,"B96 B98","S"
621,0,3,"male",27,1,0,"2659",14.4542,"","C"
171,0,1,"male",61,0,0,"111240",33.5,"B19","S"
120,0,3,"female",2,4,2,"347082",31.275,"","S"
599,0,3,"male",NA,0,0,"2664",7.225,"","C"
92,0,3,"male",20,0,0,"347466",7.8542,"","S"
144,0,3,"male",19,0,0,"365222",6.75,"","Q"
312,1,1,"female",18,2,2,"PC 17608",262.375,"B57 B59 B63 B66","C"
806,0,3,"male",31,0,0,"347063",7.775,"","S"
488,0,1,"male",58,0,0,"11771",29.7,"B37","C"
719,0,3,"male",NA,0,0,"36568",15.5,"","Q"
528,0,1,"male",NA,0,0,"PC 17483",221.7792,"C95","S"
714,0,3,"male",29,0,0,"7545",9.4833,"","S"
585,0,3,"male",NA,0,0,"3411",8.7125,"","C"
623,1,3,"male",20,1,1,"2653",15.7417,"","C"
706,0,2,"male",39,0,0,"250655",26,"","S"
494,0,1,"male",71,0,0,"PC 17609",49.5042,"","C"
195,1,1,"female",44,0,0,"PC 17610",27.7208,"B4","C"
737,0,3,"female",48,1,3,"W./C. 6608",34.375,"","S"
101,0,3,"female",28,0,0,"349245",7.8958,"","S"
70,0,3,"male",26,2,0,"315151",8.6625,"","S"
132,0,3,"male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S"
484,1,3,"female",63,0,0,"4134",9.5875,"","S"
444,1,2,"female",28,0,0,"230434",13,"","S"
318,0,2,"male",54,0,0,"29011",14,"","S"
865,0,2,"male",24,0,0,"233866",13,"","S"
229,0,2,"male",18,0,0,"236171",13,"","S"
616,1,2,"female",24,1,2,"220845",65,"","S"
88,0,3,"male",NA,0,0,"SOTON/OQ 392086",8.05,"","S"
590,0,3,"male",NA,0,0,"A./5. 3235",8.05,"","S"
11,1,3,"female",4,1,1,"PP 9549",16.7,"G6","S"
473,1,2,"female",33,1,2,"C.A. 34651",27.75,"","S"
239,0,2,"male",19,0,0,"28665",10.5,"","S"
52,0,3,"male",21,0,0,"A/4. 39886",7.8,"","S"
400,1,2,"female",28,0,0,"240929",12.65,"","S"
230,0,3,"female",NA,3,1,"4133",25.4667,"","S"
32,1,1,"female",NA,1,0,"PC 17569",146.5208,"B78","C"
431,1,1,"male",28,0,0,"110564",26.55,"C52","S"
749,0,1,"male",19,1,0,"113773",53.1,"D30","S"
541,1,1,"female",36,0,2,"WE/P 5735",71,"B22","S"
264,0,1,"male",40,0,0,"112059",0,"B94","S"
523,0,3,"male",NA,0,0,"2624",7.225,"","C"
434,0,3,"male",17,0,0,"STON/O 2. 3101274",7.125,"","S"
549,0,3,"male",33,1,1,"363291",20.525,"","S"
480,1,3,"female",2,0,1,"3101298",12.2875,"","S"
695,0,1,"male",60,0,0,"113800",26.55,"","S"
471,0,3,"male",NA,0,0,"323592",7.25,"","S"
361,0,3,"male",40,1,4,"347088",27.9,"","S"
597,1,2,"female",NA,0,0,"248727",33,"","S"
556,0,1,"male",62,0,0,"113807",26.55,"","S"
566,0,3,"male",24,2,0,"A/4 48871",24.15,"","S"
871,0,3,"male",26,0,0,"349248",7.8958,"","S"
418,1,2,"female",18,0,2,"250652",13,"","S"
486,0,3,"female",NA,3,1,"4133",25.4667,"","S"
180,0,3,"male",36,0,0,"LINE",0,"","S"
877,0,3,"male",20,0,0,"7534",9.8458,"","S"
875,1,2,"female",28,1,0,"P/PP 3381",24,"","C"
128,1,3,"male",24,0,0,"C 17369",7.1417,"","S"
219,1,1,"female",32,0,0,"11813",76.2917,"D15","C"
16,1,2,"female",55,0,0,"248706",16,"","S"
793,0,3,"female",NA,8,2,"CA. 2343",69.55,"","S"
173,1,3,"female",1,1,1,"347742",11.1333,"","S"
251,0,3,"male",NA,0,0,"362316",7.25,"","S"
308,1,1,"female",17,1,0,"PC 17758",108.9,"C65","C"
142,1,3,"female",22,0,0,"347081",7.75,"","S"
107,1,3,"female",21,0,0,"343120",7.65,"","S"
406,0,2,"male",34,1,0,"28664",21,"","S"
314,0,3,"male",28,0,0,"349243",7.8958,"","S"
272,1,3,"male",25,0,0,"LINE",0,"","S"
327,0,3,"male",61,0,0,"345364",6.2375,"","S"
380,0,3,"male",19,0,0,"347069",7.775,"","S"
223,0,3,"male",51,0,0,"21440",8.05,"","S"
86,1,3,"female",33,3,0,"3101278",15.85,"","S"
135,0,2,"male",25,0,0,"C.A. 29178",13,"","S"
167,1,1,"female",NA,0,1,"113505",55,"E33","S"
204,0,3,"male",45.5,0,0,"2628",7.225,"","C"
73,0,2,"male",21,0,0,"S.O.C. 14879",73.5,"","S"
584,0,1,"male",36,0,0,"13049",40.125,"A10","C"
593,0,3,"male",47,0,0,"A/5 3902",7.25,"","S"
860,0,3,"male",NA,0,0,"2629",7.2292,"","C"
12,1,1,"female",58,0,0,"113783",26.55,"C103","S"
840,1,1,"male",NA,0,0,"11774",29.7,"C47","C"
152,1,1,"female",22,1,0,"113776",66.6,"C2","S"
833,0,3,"male",NA,0,0,"2671",7.2292,"","C"
129,1,3,"female",NA,1,1,"2668",22.3583,"F E69","C"
443,0,3,"male",25,1,0,"347076",7.775,"","S"
221,1,3,"male",16,0,0,"SOTON/OQ 392089",8.05,"","S"
887,0,2,"male",27,0,0,"211536",13,"","S"
632,0,3,"male",51,0,0,"347743",7.0542,"","S"
31,0,1,"male",40,0,0,"PC 17601",27.7208,"","C"
127,0,3,"male",NA,0,0,"370372",7.75,"","Q"
755,1,2,"female",48,1,2,"220845",65,"","S"
355,0,3,"male",NA,0,0,"2647",7.225,"","C"
507,1,2,"female",33,0,2,"26360",26,"","S"
517,1,2,"female",34,0,0,"C.A. 34260",10.5,"F33","S"
278,0,2,"male",NA,0,0,"239853",0,"","S"
781,1,3,"female",13,0,0,"2687",7.2292,"","C"
201,0,3,"male",28,0,0,"345770",9.5,"","S"
816,0,1,"male",NA,0,0,"112058",0,"B102","S"
177,0,3,"male",NA,3,1,"4133",25.4667,"","S"
404,0,3,"male",28,1,0,"STON/O2. 3101279",15.85,"","S"
532,0,3,"male",NA,0,0,"2641",7.2292,"","C"
889,0,3,"female",NA,1,2,"W./C. 6607",23.45,"","S"
19,0,3,"female",31,1,0,"345763",18,"","S"
718,1,2,"female",27,0,0,"34218",10.5,"E101","S"
812,0,3,"male",39,0,0,"A/4 48871",24.15,"","S"
84,0,1,"male",28,0,0,"113059",47.1,"","S"
604,0,3,"male",44,0,0,"364511",8.05,"","S"
130,0,3,"male",45,0,0,"347061",6.975,"","S"
890,1,1,"male",26,0,0,"111369",30,"C148","C"
801,0,2,"male",34,0,0,"250647",13,"","S"
98,1,1,"male",23,0,1,"PC 17759",63.3583,"D10 D12","C"
619,1,2,"female",4,2,1,"230136",39,"F4","S"
357,1,1,"female",22,0,1,"113505",55,"E33","S"
796,0,2,"male",39,0,0,"28213",13,"","S"
491,0,3,"male",NA,1,0,"65304",19.9667,"","S"
218,0,2,"male",42,1,0,"243847",27,"","S"
339,1,3,"male",45,0,0,"7598",8.05,"","S"
141,0,3,"female",NA,0,2,"2678",15.2458,"","C"
707,1,2,"female",45,0,0,"223596",13.5,"","S"
673,0,2,"male",70,0,0,"C.A. 24580",10.5,"","S"
784,0,3,"male",NA,1,2,"W./C. 6607",23.45,"","S"
622,1,1,"male",42,1,0,"11753",52.5542,"D19","S"
106,0,3,"male",28,0,0,"349207",7.8958,"","S"
253,0,1,"male",62,0,0,"113514",26.55,"C87","S"
613,1,3,"female",NA,1,0,"367230",15.5,"","Q"
385,0,3,"male",NA,0,0,"349227",7.8958,"","S"
191,1,2,"female",32,0,0,"234604",13,"","S"
539,0,3,"male",NA,0,0,"364498",14.5,"","S"
852,0,3,"male",74,0,0,"347060",7.775,"","S"
232,0,3,"male",29,0,0,"347067",7.775,"","S"
255,0,3,"female",41,0,2,"370129",20.2125,"","S"
303,0,3,"male",19,0,0,"LINE",0,"","S"
713,1,1,"male",48,1,0,"19996",52,"C126","S"
309,0,2,"male",30,1,0,"P/PP 3381",24,"","C"
770,0,3,"male",32,0,0,"8471",8.3625,"","S"
861,0,3,"male",41,2,0,"350026",14.1083,"","S"
535,0,3,"female",30,0,0,"315084",8.6625,"","S"
817,0,3,"female",23,0,0,"STON/O2. 3101290",7.925,"","S"
722,0,3,"male",17,1,0,"350048",7.0542,"","S"
368,1,3,"female",NA,0,0,"2626",7.2292,"","C"
194,1,2,"male",3,1,1,"230080",26,"F2","S"
717,1,1,"female",38,0,0,"PC 17757",227.525,"C45","C"
